y_salary_m_hu,y_inglab_m_ha,clase,estrato1,sex,age,regsalud,maxeduclevel,p6426,sizefirm,depto,hoursworkusual,cuentapropia,totalhoursworked,relab,formal
,,1,3,0,46,3.0,5.0,48.0,1.0,11,40.0,1,40.0,4.0,0.0
,,1,3,1,58,3.0,3.0,480.0,1.0,11,48.0,1,48.0,4.0,0.0
9041.6669921875,9041.6669921875,1,2,0,57,2.0,7.0,240.0,5.0,11,40.0,0,40.0,2.0,1.0
2333.33325195312,2333.33325195312,1,3,0,49,1.0,7.0,1.0,2.0,11,60.0,0,60.0,1.0,1.0
14583.3330078125,16406.25,1,2,0,58,1.0,7.0,120.0,5.0,11,48.0,0,48.0,2.0,1.0
,,1,3,0,55,1.0,5.0,50.0,1.0,11,40.0,1,40.0,4.0,0.0
3586.12426757812,4294.0966796875,1,3,1,25,1.0,6.0,12.0,4.0,11,48.0,0,48.0,1.0,1.0
,,1,2,0,29,1.0,4.0,60.0,1.0,11,70.0,1,70.0,4.0,0.0
,,1,2,1,36,1.0,6.0,6.0,1.0,11,54.0,1,54.0,4.0,0.0
,,1,3,0,51,1.0,4.0,4.0,1.0,11,45.0,1,45.0,4.0,0.0
9722.22265625,12901.388671875,1,3,0,26,1.0,7.0,3.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,1,0,57,3.0,1.0,240.0,1.0,11,48.0,1,66.0,4.0,0.0
7291.66650390625,7291.66650390625,1,3,1,51,1.0,6.0,6.0,2.0,11,48.0,0,48.0,1.0,0.0
2603.33325195312,2603.33325195312,1,3,1,45,1.0,6.0,3.0,2.0,11,70.0,0,70.0,1.0,1.0
4131.9443359375,4456.0185546875,1,2,1,38,1.0,6.0,60.0,4.0,11,48.0,0,48.0,1.0,1.0
,,1,1,1,39,1.0,7.0,5.0,1.0,11,72.0,1,72.0,4.0,1.0
20308.642578125,22847.22265625,1,3,1,36,1.0,7.0,54.0,5.0,11,54.0,0,54.0,2.0,1.0
2333.33325195312,2333.33325195312,1,1,1,20,3.0,5.0,9.0,2.0,11,50.0,0,50.0,1.0,0.0
,,1,1,1,47,3.0,3.0,12.0,1.0,11,60.0,1,60.0,4.0,0.0
,,1,1,0,49,3.0,5.0,3.0,1.0,11,24.0,1,24.0,4.0,0.0
75000.0,75000.0,1,4,0,53,1.0,7.0,240.0,5.0,11,56.0,0,56.0,1.0,1.0
,,1,4,0,27,1.0,7.0,24.0,1.0,11,60.0,1,60.0,4.0,1.0
2390.74951171875,2660.18481445312,1,2,1,22,1.0,6.0,8.0,5.0,11,72.0,0,72.0,1.0,1.0
,,1,2,0,50,1.0,5.0,60.0,1.0,11,36.0,1,36.0,4.0,0.0
3586.12426757812,3990.27709960938,1,1,1,46,1.0,4.0,3.0,2.0,11,48.0,0,48.0,1.0,1.0
,,1,1,1,42,,5.0,14.0,1.0,11,48.0,1,48.0,4.0,0.0
3187.666015625,3726.23388671875,1,1,1,18,1.0,6.0,4.0,2.0,11,54.0,0,54.0,1.0,1.0
3586.12426757812,4131.24951171875,1,2,0,27,1.0,6.0,5.0,5.0,11,48.0,0,48.0,1.0,1.0
4861.111328125,5962.0234375,1,2,0,52,1.0,7.0,264.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,1,1,64,3.0,5.0,48.0,1.0,11,40.0,1,40.0,4.0,0.0
1215.27783203125,1215.27783203125,1,2,0,55,2.0,6.0,84.0,1.0,11,48.0,0,48.0,3.0,0.0
6319.4443359375,6319.4443359375,1,2,1,37,1.0,7.0,12.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,2,0,46,1.0,7.0,60.0,1.0,11,48.0,1,48.0,4.0,1.0
3888.88891601562,4050.92578125,1,1,1,63,1.0,3.0,176.0,5.0,11,48.0,0,48.0,1.0,1.0
4666.66650390625,4666.66650390625,1,2,0,49,1.0,4.0,2.0,1.0,11,30.0,0,30.0,3.0,0.0
